activity_id,competitor_id,technology_id,adoption_status,market_activity_score,launch_year,investment_level
1,3,1,Not Adopted,7,2028,High
2,4,1,Research,4,2028,Medium
3,8,1,Not Adopted,6,2024,Low
4,10,1,Pilot,5,2025,Medium
5,11,1,Research,7,2026,High
6,7,1,Adopted,8,2024,Medium
7,9,1,Not Adopted,9,2026,High
8,5,1,Pilot,8,2024,High
9,1,1,Adopted,8,2028,Medium
10,6,1,Research,5,2025,High
11,2,2,Not Adopted,7,2024,Low
12,10,2,Research,4,2026,Medium
13,12,2,Adopted,8,2024,Low
14,5,2,Not Adopted,8,2027,High
15,7,2,Adopted,10,2027,High
16,9,2,Research,3,2028,Low
17,6,3,Research,3,2025,High
18,12,3,Pilot,8,2028,Low
19,8,3,Pilot,10,2027,Medium
20,9,3,Pilot,3,2028,Low
21,5,3,Pilot,4,2025,Low
22,1,3,Pilot,5,2028,Low
23,11,3,Not Adopted,4,2027,High
24,2,3,Not Adopted,9,2024,Medium
25,6,4,Research,6,2028,Medium
26,1,4,Not Adopted,8,2027,Low
27,4,4,Pilot,6,2024,Low
28,7,4,Pilot,9,2024,High
29,9,4,Research,3,2026,Medium
30,12,4,Research,6,2025,High
31,10,4,Not Adopted,5,2027,High
32,5,4,Not Adopted,7,2025,Medium
33,11,4,Adopted,6,2024,Low
34,1,5,Pilot,5,2025,High
35,11,5,Not Adopted,6,2028,Low
36,6,5,Pilot,9,2026,High
37,10,5,Research,3,2024,Medium
38,9,5,Research,8,2026,High
39,2,5,Adopted,9,2027,Low
40,3,5,Adopted,5,2027,Medium
41,5,5,Pilot,3,2025,Medium
42,4,5,Not Adopted,6,2028,Medium
43,8,5,Research,6,2024,Low
44,12,5,Pilot,4,2026,High
45,4,6,Adopted,3,2027,Low
46,7,6,Research,6,2027,Medium
47,11,6,Not Adopted,6,2027,Medium
48,12,6,Pilot,7,2025,High
49,6,6,Not Adopted,10,2026,Low
50,9,6,Adopted,9,2027,Low
51,1,6,Not Adopted,10,2027,Low
52,2,6,Pilot,4,2025,High
53,10,6,Adopted,10,2025,Medium
54,11,7,Not Adopted,8,2025,High
55,1,7,Adopted,8,2026,Low
56,7,7,Adopted,5,2025,Medium
57,12,7,Pilot,8,2026,Low
58,5,7,Research,3,2024,Medium
59,6,7,Pilot,5,2028,Low
60,9,7,Not Adopted,10,2024,Medium
