source_id,technology_id,source_type,source_name,source_url,research_summary,reliability_score,technology_maturity_level,patent_office,filing_year
1,1,News Update,News Update for AI Washing Cycle Optimization V1,https://news.example.com/update/1,News update related to market movement and technology adoption.,8,Pilot,,
2,1,Standards Documentation,Standards Doc: AI Washing Cycle Optimization V1,https://standards.example.com/2,Standards body documentation defining compliance requirements and integration protocols for AI Washing Cycle Optimization V1.,8,Commercial,,
3,1,News Update,News Update for AI Washing Cycle Optimization V1,https://news.example.com/update/3,News update related to market movement and technology adoption.,7,Pilot,,
4,1,Standards Documentation,Standards Doc: AI Washing Cycle Optimization V1,https://standards.example.com/4,Standards body documentation defining compliance requirements and integration protocols for AI Washing Cycle Optimization V1.,5,Pilot,,
5,2,Academic Literature,Journal Article: AI-Based Fault Detection V2,https://literature.example.com/paper/5,"Academic study analyzing technical feasibility, benchmarks, and research outcomes for AI-Based Fault Detection V2.",7,Pilot,,2023.0
6,2,Market Report,Market Report on AI-Based Fault Detection V2,https://marketresearch.example.com/report/6,Market research report covering adoption trends and commercial potential of AI-Based Fault Detection V2.,9,Commercial,,
7,2,Vendor Documentation,Vendor Documentation for AI-Based Fault Detection V2,https://vendor.example.com/docs/7,Vendor documentation describing product integration and technical specifications.,8,Mature,,
8,2,Patent Reference,Patent Reference for AI-Based Fault Detection V2,https://patents.example.com/8,Patent reference related to AI-Based Fault Detection V2 and possible technical implementation.,9,Commercial,EPO,2024.0
9,2,Academic Literature,Industry Benchmark Study: AI-Based Fault Detection V2,https://literature.example.com/paper/9,"Academic study analyzing technical feasibility, benchmarks, and research outcomes for AI-Based Fault Detection V2.",7,Research,,2024.0
10,2,News Update,News Update for AI-Based Fault Detection V2,https://news.example.com/update/10,News update related to market movement and technology adoption.,6,Pilot,,
11,3,Competitor Product Release,Competitor Release Note for Biometric Access Control V3,https://competitor.example.com/release/11,Competitor release information showing adoption and market activity.,10,Commercial,,
12,3,Vendor Documentation,Vendor Documentation for Biometric Access Control V3,https://vendor.example.com/docs/12,Vendor documentation describing product integration and technical specifications.,5,Research,,
